fid,no,gender_code,age_code,dept_code,grade_code,ownbike_code,shared_bike_code,expense_code,WA_place_code,WA_min1_1,WA_min2_1,WA_min3_1,WA_min5_1,WA_freq_code,WB_place_code,WB_min1_1,WB_min2_1,WB_min3_1,WB_min5_1,WB_freq_code
212,qx1248,0,0.5,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.169287657,0.168784125,0.226741616,0.323936039,0
214,qx2088,0,0.5,0.333333333,0,0.666666667,0.333333333,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.169287657,0.168784125,0.226741616,0.323936039,0
215,qx2184,0,0.666666667,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.504802677,0.344905781,0.390709735,0.435637592,1
216,qx2272,0,0.666666667,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.169287657,0.168784125,0.226741616,0.323936039,0
218,qx2119,0,0.666666667,0.333333333,0,0.666666667,0.666666667,0.833333333,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.169287657,0.168784125,0.226741616,0.323936039,0
219,qx2199,0,0.666666667,0.333333333,0,0.333333333,1,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.169287657,0.168784125,0.226741616,0.323936039,0
220,qx2846,0,0.666666667,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,0,1,0.169287657,0.168784125,0.226741616,0.323936039,0
221,qx2185,0,0.666666667,0.333333333,0,0.666666667,0.666666667,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,0,1,0.169287657,0.168784125,0.226741616,0.323936039,0
222,qx2100,0,0.833333333,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,0,1,0.169287657,0.168784125,0.226741616,0.323936039,0
223,jy68,0,0.666666667,0.333333333,0,0.666666667,1,0.666666667,1,0.169287657,0.168784125,0.226741616,0.323936039,3,0,0.205236945,0.190258392,0.248309964,0.344707279,2
225,qx2078,1,0.333333333,0.333333333,0,0.666666667,0.666666667,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,0,1,0.169287657,0.168784125,0.226741616,0.323936039,0
226,qx2106,1,0.333333333,0.333333333,0,0.666666667,1,0.333333333,0,0.205236945,0.190258392,0.248309964,0.344707279,0,1,0.169287657,0.168784125,0.226741616,0.323936039,0
227,qx2109,1,0.5,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.169287657,0.168784125,0.226741616,0.323936039,0
228,qx2215,1,0.5,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.169287657,0.168784125,0.226741616,0.323936039,0
229,qx2156,1,0.5,0.333333333,0,0.666666667,0.666666667,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.169287657,0.168784125,0.226741616,0.323936039,0
230,qx2243,1,0.5,0.333333333,0,0.666666667,0.666666667,0.333333333,0,0.205236945,0.190258392,0.248309964,0.344707279,3,1,0.169287657,0.168784125,0.226741616,0.323936039,0
232,qx2578,1,0.5,0.333333333,0,0.666666667,0.666666667,0.5,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.169287657,0.168784125,0.226741616,0.323936039,0
233,qx2090,1,0.5,0.333333333,0,0.666666667,0.666666667,0.833333333,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.169287657,0.168784125,0.226741616,0.323936039,0
234,qx2678,1,0.5,0.333333333,0,0.666666667,1,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.169287657,0.168784125,0.226741616,0.323936039,0
235,qx2259,1,0.5,0.333333333,0,0.333333333,1,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,2,1,0.169287657,0.168784125,0.226741616,0.323936039,0
238,qx1748,1,0.5,0.333333333,0,0.333333333,1,0.666666667,0,0.205236945,0.190258392,0.248309964,0.344707279,1,1,0.169287657,0.168784125,0.226741616,0.323936039,0
